entry,exit,entry_px,exit_px,pnl,ret,giveback,why,symbol,variant
2025-01-22,2025-01-30,440.9688415527344,410.1247253417969,-699.4624858828927,-0.06994624858828924,32.209856719367586,atr_stop,MSFT,B
2023-01-12,2025-01-30,16.474397659301758,124.464111328125,65550.0224664361,6.5550022466436095,0.18641247873568847,cross,NVDA,B
2025-01-29,2025-02-07,237.8404083251953,226.18490600585938,-490.0555965830482,-0.049005559658304776,0.0,cross,AAPL,B
2024-06-26,2025-02-25,196.3699951171875,302.79998779296875,5419.870414126513,0.5419870414126513,0.6245723082222748,cross,TSLA,B
2024-10-28,2025-02-26,165.66383361816406,171.83245849609375,372.35796994458383,0.03723579699445834,0.8443988042016907,cross,GOOGL,B
2025-02-14,2025-02-27,138.6429443359375,119.9708251953125,-1346.777452690394,-0.13467774526903942,15.841493735673309,cross,NVDA,B
2025-02-12,2025-03-11,235.625,219.67926025390625,-676.7422703912467,-0.06767422703912462,2.566955710732017,cross,AAPL,B
2025-05-13,2025-06-05,334.07000732421875,284.70001220703125,-1477.8338083272874,-0.1477833808327288,2.713045890717025,atr_stop,TSLA,B
2025-06-10,2025-07-09,326.0899963378906,295.8800048828125,-926.4311016697025,-0.09264311016697024,2.3373172356122227,cross,TSLA,B
2025-07-21,2025-08-01,211.64036560058594,201.58030700683594,-475.33742276440995,-0.04753374227644103,6.260354415836212,cross,AAPL,B
2025-05-02,2025-11-20,431.0393981933594,476.3088684082031,1050.239732251491,0.105023973225149,0.5793547245497827,cross,MSFT,B
2025-05-14,2025-12-18,135.1505889892578,173.9278564453125,2869.189675461705,0.2869189675461705,0.45861227623586487,cross,NVDA,B
2025-08-07,2026-01-20,219.16053771972656,246.2425079345703,1235.7138058073906,0.12357138058073902,0.5927445714963604,cross,AAPL,B
2025-07-14,2026-02-05,316.8999938964844,397.2099914550781,2534.2379017156773,0.2534237901715677,0.5357267172046761,cross,TSLA,B
2026-02-02,2026-02-13,269.5093078613281,255.5445556640625,-518.1547274964979,-0.051815472749649816,2.7251276135326896,atr_stop,AAPL,B
2026-02-23,2026-03-12,265.9349670410156,255.52456665039062,-391.4641427736498,-0.03914641427736498,2.2944020095544904,cross,AAPL,B
2025-12-19,2026-03-18,180.76951599121094,180.1899871826172,-32.058989891964245,-0.003205898989196432,1.0398240110056034,cross,NVDA,B
2025-05-28,2026-03-26,171.66188049316406,280.7523193359375,6354.960025450592,0.6354960025450591,0.36420571190746265,cross,GOOGL,B
2026-05-08,2026-06-05,428.3500061035156,391.0,-871.9506378269916,-0.08719506378269914,3.207449398846391,atr_stop,TSLA,B
2026-05-29,2026-06-05,450.239990234375,416.6700134277344,-745.6018464545004,-0.07456018464545,4.2655623339419035,atr_stop,MSFT,B
2026-06-12,2026-06-17,406.42999267578125,396.3800048828125,-247.27475762316246,-0.024727475762316264,3.129234151230078,cross,TSLA,B
2026-04-08,2026-06-29,317.1305847167969,353.6499938964844,1151.5574636959084,0.11515574636959092,0.5716152331066834,open,GOOGL,B
2026-04-15,2026-06-29,266.18475341796875,281.739990234375,584.3774527529417,0.05843774527529422,0.6826450129877245,open,AAPL,B
2026-04-13,2026-07-02,189.08961486816406,194.8300018310547,303.58023453022014,0.030358023453022076,0.876220636693707,cross,NVDA,B
2026-07-06,2026-07-08,419.7699890136719,394.05999755859375,-612.4780743732672,-0.06124780743732672,0.0,cross,TSLA,B
2026-07-10,2026-07-13,407.760009765625,394.760009765625,-318.8149815738975,-0.03188149815738972,0.0,cross,TSLA,B
2026-07-08,2026-07-14,204.1199951171875,211.8000030517578,376.24966285939485,0.03762496628593959,0.0,open,NVDA,B
2017-01-10,2017-01-19,56.08552932739258,55.798919677734375,-51.10224564078794,-0.005110224564078836,1.5613936771947128,cross,MSFT,C
