entry,exit,symbol,qty,pnl
2016-11-18,2016-12-09,STRAD84,1,27.8
2016-11-22,2016-12-21,MCL,3,110.6
2016-12-01,2016-12-07,MES,1,62.4
2016-12-02,2016-12-23,STRAD96,1,-220.2
2016-12-15,2017-01-04,MES,1,38.6
2016-12-23,2017-01-13,STRAD96,1,-122.2
2017-01-05,2017-01-27,EQ:AMD,1,3.0
2017-01-10,2017-01-25,MES,1,46.7
2017-01-25,2017-02-15,STRAD96,1,-199.2
2017-01-31,2017-02-09,MES,1,49.9
2017-02-07,2017-03-09,LCALL,1,-144.2
2017-03-08,2017-03-30,MES,1,45.5
2017-03-08,2017-03-16,MGC,1,36.4
2017-03-10,2017-03-16,MNG,4,25.4
2017-03-17,2017-04-07,STRAD84,1,-28.2
2017-03-21,2017-04-20,LCALL,1,3.8
2017-04-04,2017-04-24,MES,1,43.6
2017-05-01,2017-05-10,MES,1,15.8
2017-05-04,2017-05-12,MGC,1,16.9
2017-05-04,2017-05-25,STRAD84,1,203.8
2017-05-17,2017-05-22,MES,1,67.3
2017-05-25,2017-06-15,STRAD84,1,147.8
2017-05-31,2017-06-08,MES,1,26.7
2017-06-02,2017-06-23,STRAD96,1,228.8
2017-06-09,2017-06-28,MES,1,39.2
2017-06-15,2017-07-06,STRAD84,1,59.8
2017-06-19,2017-07-07,EQ:TSLA,1,-1425.5
2017-06-20,2017-06-23,MGC,1,16.9
2017-06-23,2017-07-11,EQ:NVDA,1,94.0
2017-06-28,2017-07-10,MES,1,-0.1
2017-07-07,2017-07-28,STRAD96,1,127.8
2017-07-17,2017-07-24,EQ:TSLA,1,289.5
2017-07-18,2017-07-25,EQ:AMD,1,11.0
2017-07-25,2017-08-10,MES,1,-75.2
2017-07-25,2017-08-24,LCALL,1,-14.1
2017-07-26,2017-08-14,MCL,3,32.5
2017-07-26,2017-08-16,STRAD84,1,-108.2
2017-08-11,2017-08-14,EQ:NVDA,1,128.2
2017-08-11,2017-08-15,MES,1,52.4
2017-08-16,2017-09-06,STRAD84,1,218.8
2017-08-17,2017-08-23,EQ:GOOGL,1,277.0
2017-08-17,2017-08-30,EQ:META,1,56.8
2017-08-17,2017-08-23,EQ:JPM,1,36.0
2017-08-18,2017-09-08,STRAD71,1,-75.0
2017-08-18,2017-08-22,MES,1,44.9
2017-08-23,2017-09-13,STRAD96,1,-53.2
2017-08-28,2017-09-01,EQ:GOOGL,1,277.0
2017-08-29,2017-09-01,MES,1,24.9
2017-09-01,2017-09-08,MNG,4,81.4
2017-09-06,2017-09-15,MES,1,39.9
2017-09-08,2017-09-29,STRAD71,1,81.5
2017-09-12,2017-10-03,STRAD84,1,247.8
2017-09-14,2017-10-06,EQ:AAPL,1,50.0
2017-09-22,2017-10-05,MGC,1,-19.1
2017-09-22,2017-10-02,MES,1,30.5
2017-10-02,2017-10-05,EQ:NFLX,1,125.2
2017-10-03,2017-10-24,STRAD84,1,-175.2
2017-10-12,2017-11-11,LCALL,1,-104.2
2017-10-16,2017-11-03,EQ:TSLA,1,-743.0
2017-10-16,2017-10-27,MNG,4,99.4
2017-10-18,2017-10-27,EQ:AMZN,1,434.5
2017-10-19,2017-10-27,EQ:GOOGL,1,362.0
2017-10-20,2017-11-03,EQ:NVDA,1,120.2
2017-10-26,2017-11-03,MES,1,42.4
2017-11-07,2017-11-28,STRAD84,1,-77.2
2017-11-15,2017-11-21,MES,1,58.6
2017-11-20,2017-12-20,LCALL,1,-88.2
2017-12-06,2017-12-27,STRAD96,1,25.8
2017-12-06,2017-12-15,MES,1,44.2
2017-12-06,2017-12-11,EQ:AAPL,1,48.2
2017-12-07,2017-12-15,EQ:JPM,1,34.2
2017-12-08,2017-12-29,STRAD84,1,271.8
2017-12-08,2017-12-15,EQ:AVGO,1,157.0
2017-12-19,2018-01-02,EQ:NFLX,1,179.5
2017-12-21,2018-01-03,MES,1,24.2
2017-12-29,2018-01-28,LCALL,1,324.9
2017-12-29,2018-01-19,STRAD84,1,229.8
2017-12-29,2018-01-05,MNG,4,141.4
2018-01-23,2018-01-26,EQ:LLY,1,24.2
2018-01-24,2018-02-09,EQ:AVGO,1,-575.5
2018-01-26,2018-02-16,STRAD84,1,-24.2
2018-01-31,2018-02-23,MES,1,-27.6
2018-02-02,2018-02-13,EQ:AAPL,1,92.0
2018-02-02,2018-02-20,EQ:MSFT,1,27.0
2018-03-01,2018-03-08,MES,1,64.8
2018-03-07,2018-03-15,MNG,4,87.4
2018-03-13,2018-04-02,EQ:NFLX,1,-1098.0
2018-03-13,2018-04-02,EQ:META,1,-1363.0
2018-03-15,2018-04-09,MES,1,-128.9
2018-03-21,2018-04-06,EQ:MSFT,1,-57.0
2018-04-02,2018-04-05,EQ:JPM,1,64.5
2018-04-16,2018-04-30,MNG,4,25.4
2018-04-24,2018-05-03,MGC,1,-23.1
2018-05-01,2018-05-22,STRAD71,1,-91.2
2018-05-01,2018-05-22,STRAD84,1,-151.2
2018-05-08,2018-05-14,EQ:UNH,1,96.0
2018-05-11,2018-06-10,LCALL,1,-82.7
2018-05-15,2018-05-22,EQ:NFLX,1,138.5
2018-05-15,2018-06-01,EQ:JPM,1,-55.5
2018-05-15,2018-05-25,EQ:NVDA,1,123.5
2018-05-16,2018-05-23,EQ:META,1,49.2
2018-05-16,2018-05-21,EQ:HD,1,69.0
2018-05-16,2018-06-04,MES,1,34.9
2018-05-24,2018-06-04,EQ:UNH,1,109.8
2018-06-12,2018-06-14,EQ:LLY,1,11.8
2018-06-12,2018-06-29,EQ:JPM,1,-201.5
2018-06-13,2018-07-04,STRAD96,1,78.8
2018-06-19,2018-07-09,MES,1,41.7
2018-06-28,2018-07-19,STRAD84,1,54.8
2018-07-02,2018-07-20,EQ:TSLA,1,124.5
2018-07-02,2018-07-09,EQ:HD,1,57.2
2018-07-11,2018-07-27,EQ:AVGO,1,-410.5
2018-07-13,2018-07-26,EQ:AMD,1,12.5
2018-07-13,2018-08-03,EQ:NFLX,1,-390.5
2018-07-23,2018-08-02,EQ:TSLA,1,357.0
2018-07-23,2018-08-07,EQ:NVDA,1,164.5
2018-07-23,2018-08-03,MES,1,41.1
2018-08-03,2018-08-24,STRAD84,1,-50.2
2018-08-08,2018-08-24,MNG,4,53.4
2018-08-16,2018-08-27,MES,1,48.6
2018-08-23,2018-09-10,EQ:LLY,1,29.5
2018-09-04,2018-09-20,EQ:NFLX,1,168.2
2018-09-05,2018-09-19,MES,1,62.4
2018-09-18,2018-10-09,STRAD71,1,331.8
2018-09-19,2018-10-01,EQ:MSFT,1,37.0
2018-09-20,2018-09-27,EQ:AMD,1,47.0
2018-09-21,2018-10-05,MNG,4,-180.6
2018-09-26,2018-10-10,MES,1,-336.4
2018-10-02,2018-10-19,EQ:AMD,1,-181.0
2018-10-11,2018-11-01,STRAD96,1,32.8
2018-10-11,2018-10-16,MES,1,80.5
2018-10-18,2018-11-07,EQ:AAPL,1,135.0
2018-10-18,2018-11-07,EQ:AVGO,1,142.0
2018-10-25,2018-11-24,LCALL,1,-80.2
2018-11-13,2018-12-04,STRAD96,1,151.8
2018-11-30,2018-12-30,LCALL,1,248.8
2018-12-14,2019-01-02,EQ:LLY,1,46.2
2018-12-20,2019-01-10,STRAD96,1,-104.2
2019-01-10,2019-01-14,MCL,3,17.5
2019-02-01,2019-03-03,LCALL,1,223.6
2019-02-07,2019-02-15,EQ:DIS,1,37.8
2019-02-07,2019-02-14,EQ:COP,1,34.2
2019-02-07,2019-02-15,EQ:CVX,1,54.7
2019-02-07,2019-02-28,STRAD84,1,20.8
2019-02-08,2019-02-15,MES,1,40.5
2019-02-15,2019-03-05,EQ:CRM,1,101.5
2019-02-22,2019-03-08,MES,1,-31.4
2019-02-22,2019-03-13,EQ:C,1,23.2
2019-02-22,2019-03-11,EQ:GS,1,94.0
2019-02-25,2019-03-15,EQ:HD,1,60.5
2019-02-25,2019-03-11,MNG,4,13.4
2019-03-11,2019-03-18,MES,1,62.4
2019-03-11,2019-03-18,EQ:LLY,1,41.5
2019-03-28,2019-04-01,MES,1,35.5
2019-03-29,2019-04-12,EQ:COP,1,27.7
2019-04-02,2019-04-18,EQ:WFC,1,18.0
2019-04-02,2019-04-23,STRAD84,1,-129.2
2019-04-10,2019-04-26,EQ:PFE,1,-75.0
2019-04-11,2019-04-16,EQ:JNJ,1,56.8
2019-04-11,2019-05-03,EQ:LLY,1,-128.5
2019-04-18,2019-05-10,MES,1,-27.6
2019-04-18,2019-04-25,EQ:META,1,87.8
2019-04-25,2019-05-02,EQ:AMD,1,22.5
2019-05-01,2019-05-17,EQ:CRM,1,-111.5
2019-05-02,2019-05-23,STRAD84,1,170.8
2019-05-07,2019-05-24,EQ:AAPL,1,-794.5
2019-05-10,2019-05-31,MES,1,-143.9
2019-05-13,2019-05-16,EQ:DIS,1,64.0
2019-05-13,2019-05-22,MNG,4,29.4
2019-05-14,2019-06-04,STRAD71,1,-27.4
2019-05-16,2019-06-15,LCALL,1,242.9
2019-05-20,2019-05-28,EQ:AMD,1,16.8
2019-05-20,2019-06-04,EQ:HD,1,84.0
2019-05-20,2019-06-07,EQ:NKE,1,38.5
2019-05-22,2019-06-12,STRAD96,1,388.8
2019-05-23,2019-06-13,STRAD84,1,151.8
2019-06-11,2019-06-14,EQ:DIS,1,32.8
2019-06-12,2019-06-19,EQ:CVX,1,52.2
2019-06-13,2019-07-02,EQ:AMD,1,33.2
2019-06-13,2019-06-19,EQ:PFE,1,8.5
2019-06-17,2019-06-20,EQ:NKE,1,37.2
2019-06-17,2019-06-27,EQ:C,1,29.5
2019-06-17,2019-06-24,EQ:JNJ,1,45.5
2019-06-24,2019-07-02,EQ:MCD,1,61.2
2019-06-24,2019-07-01,EQ:DIS,1,43.2
2019-06-24,2019-06-28,EQ:JPM,1,48.2
2019-06-25,2019-07-01,EQ:AAPL,1,108.8
2019-06-26,2019-07-01,MES,1,54.2
2019-06-26,2019-07-02,MCL,3,50.6
2019-07-01,2019-07-11,EQ:UNH,1,92.7
2019-07-08,2019-07-26,EQ:PFE,1,11.5
2019-07-08,2019-07-15,EQ:AAPL,1,116.5
2019-07-09,2019-07-24,MES,1,67.3
2019-07-17,2019-07-29,EQ:DIS,1,38.0
2019-08-01,2019-08-22,STRAD96,1,-181.2
2019-08-01,2019-08-30,MES,1,61.1
2019-08-01,2019-08-22,STRAD71,1,-237.4
2019-08-12,2019-08-29,EQ:C,1,28.5
2019-08-12,2019-08-19,EQ:HD,1,112.2
2019-08-12,2019-08-19,EQ:UNH,1,85.8
2019-08-30,2019-10-01,MNG,4,85.4
2019-09-03,2019-09-06,EQ:BA,1,172.0
2019-09-06,2019-10-06,LCALL,1,-158.9
2019-09-10,2019-09-12,MCL,3,41.5
2019-09-13,2019-10-04,STRAD105,1,102.0
2019-09-19,2019-10-10,STRAD84,1,-115.2
2019-09-24,2019-10-11,EQ:JPM,1,22.5
2019-09-25,2019-10-10,MES,1,-15.2
2019-10-01,2019-10-09,MGC,1,18.3
2019-10-10,2019-11-01,EQ:BA,1,-60.5
2019-10-10,2019-10-31,STRAD71,1,69.3
2019-10-11,2019-11-01,EQ:MCD,1,-306.0
2019-10-16,2019-11-06,STRAD90,1,15.0
2019-10-18,2019-10-24,EQ:MSFT,1,59.3
2019-10-24,2019-11-14,STRAD84,1,-131.2
2019-10-24,2019-10-31,MCL,3,100.1
2019-10-24,2019-11-14,EQ:WMT,1,46.8
2019-11-08,2019-11-14,MGC,1,13.8
2019-11-21,2019-11-27,MES,1,67.3
2019-12-02,2019-12-12,EQ:AVGO,1,179.5
2019-12-03,2019-12-12,MES,1,124.8
2019-12-18,2020-01-17,LCALL,1,233.8
2019-12-20,2020-01-10,STRAD84,1,365.8
2019-12-31,2020-01-09,MES,1,64.8
2020-01-08,2020-01-29,STRAD71,1,-18.7
2020-01-10,2020-01-31,STRAD96,1,177.8
2020-01-10,2020-01-31,EQ:XOM,1,-330.0
2020-01-10,2020-01-17,EQ:NFLX,1,194.5
2020-01-14,2020-02-04,STRAD84,1,-101.2
2020-01-23,2020-02-07,MES,1,27.4
2020-02-03,2020-02-04,EQ:AAPL,1,182.0
2020-02-19,2020-02-24,MNG,5,41.8
2020-02-21,2020-03-10,MES,1,-1568.9
2020-02-24,2020-03-09,EQ:WMT,1,40.2
2020-03-13,2020-04-03,STRAD96,1,678.8
2020-03-13,2020-03-24,MGC,1,62.9
2020-03-25,2020-04-24,LCALL,1,-373.1
2020-04-08,2020-04-15,MNG,5,44.2
2020-04-21,2020-04-30,MNG,5,39.2
2020-05-07,2020-05-18,EQ:WMT,1,77.0
2020-05-12,2020-05-18,EQ:NFLX,1,254.5
2020-05-12,2020-05-29,EQ:MSFT,1,93.2
2020-05-12,2020-05-28,EQ:JNJ,1,52.2
2020-05-12,2020-06-11,LCALL,1,546.1
2020-05-19,2020-06-05,EQ:LLY,1,37.0
2020-05-20,2020-06-05,EQ:PFE,1,-10.0
2020-05-20,2020-05-27,EQ:UNH,1,213.2
2020-05-21,2020-06-09,EQ:NFLX,1,339.5
2020-05-22,2020-06-11,EQ:WMT,1,-62.5
2020-05-26,2020-06-05,EQ:NVDA,1,268.2
2020-05-28,2020-06-03,EQ:DIS,1,156.3
2020-05-28,2020-06-03,EQ:TSLA,1,1880.8
2020-05-29,2020-06-03,EQ:CRM,1,111.8
2020-06-03,2020-06-05,EQ:COST,1,99.0
2020-06-04,2020-06-26,EQ:JNJ,1,-140.0
2020-06-04,2020-06-09,EQ:AMD,1,44.7
2020-06-04,2020-06-26,EQ:UNH,1,7.0
2020-06-04,2020-06-19,MGC,1,42.9
2020-06-11,2020-06-22,MES,1,237.3
2020-06-18,2020-07-10,EQ:DE,1,105.8
2020-06-19,2020-07-07,EQ:MCD,1,147.0
2020-06-19,2020-07-10,EQ:CVX,1,42.0
2020-06-19,2020-07-06,EQ:DIS,1,92.0
2020-06-23,2020-07-10,EQ:AMD,1,58.0
2020-06-24,2020-06-30,EQ:TSLA,1,1220.8
2020-06-25,2020-07-02,MES,1,88.0
2020-07-15,2020-07-20,EQ:CRM,1,126.2
2020-07-16,2020-07-20,EQ:MSFT,1,140.2
2020-07-17,2020-07-31,EQ:NFLX,1,377.0
2020-07-17,2020-08-03,EQ:NKE,1,78.0
2020-07-20,2020-08-04,EQ:UNH,1,129.2
2020-07-20,2020-08-04,EQ:WMT,1,60.0
2020-07-20,2020-08-05,EQ:DIS,1,82.5
2020-07-22,2020-07-31,EQ:META,1,141.8
2020-07-22,2020-08-05,EQ:GS,1,106.5
2020-07-22,2020-08-07,EQ:LLY,1,-84.5
2020-07-23,2020-08-03,EQ:MSFT,1,166.2
2020-07-23,2020-08-03,EQ:NVDA,1,398.2
2020-07-23,2020-08-06,EQ:AVGO,1,242.0
2020-07-24,2020-08-10,EQ:JNJ,1,70.0
2020-07-28,2020-08-06,EQ:MCD,1,89.8
2020-07-30,2020-08-10,EQ:CAT,1,127.2
2020-07-30,2020-08-04,EQ:COST,1,170.5
2020-07-31,2020-08-12,EQ:TSLA,1,6047.0
2020-08-03,2020-08-13,EQ:PFE,1,9.0
2020-08-07,2020-08-20,EQ:MSFT,1,133.5
2020-08-07,2020-08-20,EQ:NFLX,1,315.8
2020-08-07,2020-08-20,EQ:CRM,1,149.2
2020-08-10,2020-08-17,EQ:NVDA,1,370.8
2020-08-10,2020-08-21,EQ:AMD,1,73.5
2020-08-11,2020-08-18,EQ:LLY,1,118.0
2020-08-12,2020-08-24,MES,1,112.3
2020-08-14,2020-08-27,EQ:CAT,1,80.2
2020-08-14,2020-09-02,EQ:GS,1,128.0
2020-08-17,2020-09-04,EQ:BAC,1,7.0
2020-08-17,2020-08-28,EQ:JPM,1,52.8
2020-08-18,2020-09-04,EQ:UNH,1,-5.5
2020-08-20,2020-09-10,STRAD84,1,-306.2
2020-08-20,2020-08-24,EQ:DE,1,155.2
2020-09-04,2020-09-30,MES,1,154.8
2020-09-10,2020-10-02,EQ:BAC,1,12.0
2020-09-10,2020-10-01,STRAD96,1,-50.2
2020-09-10,2020-09-28,EQ:UNH,1,274.5
2020-09-10,2020-09-29,EQ:META,1,263.2
2020-09-11,2020-09-28,EQ:AAPL,1,66.5
2020-09-11,2020-10-02,EQ:DIS,1,-68.0
2020-09-11,2020-09-25,EQ:AMD,1,79.0
2020-09-14,2020-09-28,EQ:NFLX,1,475.8
2020-09-15,2020-10-02,EQ:GS,1,111.5
2020-09-15,2020-10-02,EQ:CAT,1,66.5
2020-09-15,2020-10-02,EQ:JPM,1,57.0
2020-09-16,2020-09-25,EQ:WMT,1,63.8
2020-09-17,2020-10-05,EQ:JNJ,1,85.8
2020-09-17,2020-09-28,EQ:MSFT,1,146.0
2020-09-17,2020-09-24,EQ:NKE,1,93.2
2020-09-18,2020-09-29,EQ:CRM,1,198.8
2020-09-18,2020-09-28,EQ:AVGO,1,314.5
2020-09-18,2020-10-02,EQ:MCD,1,107.2
2020-09-18,2020-10-09,STRAD71,1,-63.7
2020-09-22,2020-10-05,MGC,1,82.3
2020-10-01,2020-10-22,STRAD96,1,-165.2
2020-10-09,2020-10-30,EQ:AMD,1,-12.0
2020-10-13,2020-10-30,EQ:NKE,1,-249.5
2020-10-14,2020-10-30,EQ:JPM,1,-63.0
2020-10-14,2020-10-30,EQ:JNJ,1,-468.5
2020-10-14,2020-10-30,EQ:UNH,1,-312.0
2020-10-15,2020-11-05,EQ:CRM,1,216.0
2020-10-15,2020-10-19,EQ:PFE,1,22.0
2020-10-16,2020-11-05,EQ:AAPL,1,80.2
2020-10-20,2020-11-05,MES,1,154.8
2020-10-22,2020-11-05,EQ:NVDA,1,644.5
2020-11-03,2020-12-03,LCALL,1,-337.1
2020-11-10,2020-11-18,EQ:CRM,1,250.8
2020-11-13,2020-11-24,MES,1,79.2
2020-12-10,2020-12-28,MES,1,148.6
2020-12-18,2021-01-05,EQ:PFE,1,10.5
2020-12-23,2020-12-30,EQ:JNJ,1,52.8
2020-12-28,2021-01-27,LCALL,1,-325.1
2021-01-05,2021-01-20,MES,1,178.6
2021-01-11,2021-01-20,EQ:NFLX,1,357.0
2021-01-12,2021-01-19,EQ:JNJ,1,52.2
2021-01-14,2021-02-04,STRAD84,1,-221.2
2021-01-28,2021-02-04,MES,1,166.7
2021-01-28,2021-02-18,STRAD71,1,-461.2
2021-01-29,2021-02-19,EQ:PLTR,1,7.5
2021-02-02,2021-02-09,MNG,5,61.8
2021-02-19,2021-03-10,MES,1,81.1
2021-02-25,2021-03-01,EQ:PLTR,1,55.7
2021-02-26,2021-03-19,STRAD84,1,-398.2
2021-03-04,2021-03-08,EQ:DIS,1,159.5
2021-03-04,2021-03-25,STRAD71,1,498.3
2021-03-04,2021-03-15,EQ:AAPL,1,96.2
2021-03-04,2021-03-11,EQ:AVGO,1,329.5
2021-03-11,2021-04-05,EQ:LLY,1,-86.5
2021-03-19,2021-04-09,STRAD84,1,-224.2
2021-03-19,2021-03-31,MES,1,73.6
2021-04-09,2021-04-30,STRAD84,1,-131.2
2021-04-16,2021-05-04,MNG,5,-105.8
2021-04-21,2021-05-07,MES,1,102.3
2021-05-07,2021-06-06,LCALL,1,377.9
2021-05-12,2021-05-14,MES,1,180.5
2021-05-19,2021-05-24,EQ:DE,1,194.5
2021-05-19,2021-05-24,MES,1,114.8
2021-05-27,2021-06-17,STRAD71,1,-111.2
2021-06-02,2021-06-23,MES,1,102.3
2021-06-15,2021-07-06,MGC,1,-83.2
2021-06-25,2021-07-16,STRAD84,1,-73.2
2021-07-09,2021-08-03,MES,1,103.6
2021-07-22,2021-08-12,STRAD96,1,-151.2
2021-07-27,2021-08-04,EQ:NVDA,1,153.2
2021-08-02,2021-09-01,LCALL,1,-250.2
2021-08-03,2021-08-16,MES,1,117.3
2021-08-12,2021-09-02,STRAD84,1,159.8
2021-08-13,2021-09-03,STRAD96,1,-131.2
2021-08-18,2021-08-24,MES,1,179.8
2021-09-01,2021-10-01,LCALL,1,-260.1
2021-09-08,2021-09-24,EQ:NKE,1,-16.0
2021-09-08,2021-10-08,MES,1,12.3
2021-09-16,2021-10-08,EQ:PFE,1,-4.5
2021-09-28,2021-10-07,EQ:NVDA,1,165.8
2021-09-28,2021-10-11,EQ:HD,1,135.5
2021-09-28,2021-10-07,EQ:COST,1,188.0
2021-10-08,2021-11-07,LCALL,1,522.4
2021-10-11,2021-10-14,EQ:BAC,1,18.5
2021-10-11,2021-10-15,EQ:C,1,34.2
2021-10-11,2021-10-15,EQ:WFC,1,24.0
2021-10-12,2021-10-15,EQ:AVGO,1,189.5
2021-10-12,2021-10-14,EQ:MSFT,1,139.5
2021-10-12,2021-10-27,EQ:MCD,1,87.8
2021-11-10,2021-11-24,MES,1,147.3
2021-11-23,2021-12-14,STRAD96,1,528.8
2021-12-01,2021-12-07,MES,1,203.0
2021-12-07,2021-12-15,EQ:LLY,1,105.5
2021-12-09,2021-12-22,EQ:TSLA,1,1254.5
2021-12-09,2021-12-21,EQ:NKE,1,110.8
2021-12-13,2021-12-27,EQ:GS,1,203.2
2021-12-13,2021-12-21,EQ:AMD,1,115.2
2021-12-15,2021-12-27,MES,1,103.6
2021-12-27,2022-01-26,LCALL,1,30.9
2021-12-28,2022-01-26,MCL,5,-1450.8
2021-12-30,2022-01-20,STRAD90,1,818.0
2021-12-30,2022-01-20,STRAD105,1,62.0
2022-01-04,2022-01-25,STRAD71,1,646.3
2022-01-04,2022-01-21,EQ:UNH,1,-489.5
2022-01-06,2022-02-07,MES,1,-67.7
2022-01-10,2022-01-20,MNG,5,144.2
2022-01-13,2022-02-04,EQ:BAC,1,23.0
2022-01-13,2022-02-04,EQ:LLY,1,56.0
2022-01-28,2022-02-08,EQ:CAT,1,117.5
2022-02-03,2022-02-08,EQ:DE,1,257.0
2022-02-04,2022-02-25,EQ:AAPL,1,-12.5
2022-02-08,2022-02-25,EQ:PFE,1,-64.5
2022-02-18,2022-03-03,EQ:JNJ,1,83.5
2022-02-22,2022-03-02,EQ:DE,1,264.5
2022-03-08,2022-03-15,EQ:COST,1,347.0
2022-03-14,2022-03-22,EQ:XOM,1,58.8
2022-03-14,2022-03-16,EQ:AVGO,1,492.0
2022-03-15,2022-03-21,EQ:CVX,1,99.0
2022-03-15,2022-03-17,EQ:COP,1,103.8
2022-03-28,2022-04-27,LCALL,1,-260.1
2022-03-30,2022-04-18,EQ:PFE,1,4.5
2022-04-04,2022-04-19,EQ:JNJ,1,44.5
2022-04-06,2022-05-10,MES,1,-713.9
2022-04-07,2022-04-28,STRAD71,1,746.3
2022-04-19,2022-05-06,EQ:PFE,1,8.0
2022-04-20,2022-05-06,EQ:TSLA,1,-1310.5
2022-04-26,2022-06-06,MGC,1,25.9
2022-05-06,2022-05-17,EQ:DE,1,289.5
2022-05-18,2022-05-23,EQ:JNJ,1,85.8
2022-05-31,2022-06-17,EQ:UNH,1,-820.5
2022-06-01,2022-06-22,STRAD84,1,107.8
2022-06-22,2022-07-13,STRAD84,1,220.8
2022-06-23,2022-07-14,STRAD96,1,-495.2
2022-07-12,2022-07-28,EQ:JNJ,1,66.0
2022-07-12,2022-07-25,EQ:LLY,1,208.3
2022-07-18,2022-07-26,EQ:PFE,1,27.5
2022-07-25,2022-07-27,EQ:MCD,1,134.0
2022-07-26,2022-07-28,EQ:COST,1,278.2
2022-07-28,2022-08-19,EQ:PFE,1,7.5
2022-08-01,2022-08-19,EQ:LLY,1,157.2
